17:14:28.692751 config: drop-rate=0.20, max-delay=10ms, seed=1
17:57:24.240708 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:62363, sz=9 is delayed for 2.9ms
17:57:24.256174 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:62363, sz=9 is delivered
17:57:24.569027 [queue=1] packet #2, 127.0.0.1:62364 -> 127.0.0.1:8080, sz=32 is delayed for 4.8ms
17:57:24.600772 [queue=0] packet #2, 127.0.0.1:62364 -> 127.0.0.1:8080, sz=32 is delivered
17:57:24.601278 [queue=1] packet #2, 127.0.0.1:8080 -> 127.0.0.1:62364, sz=0 is delayed for 9.5ms
17:57:24.632072 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:62364, sz=0 is delivered
17:57:24.632580 [queue=1] packet #3, 127.0.0.1:62364 -> 127.0.0.1:8080, sz=8 is delayed for 0s
17:57:24.632897 [queue=0] packet #3, 127.0.0.1:62364 -> 127.0.0.1:8080, sz=8 is delivered
17:57:24.633405 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:62364, sz=5 is dropped
17:57:27.648872 [queue=1] packet #3, 127.0.0.1:62364 -> 127.0.0.1:8080, sz=8 is delayed for 9.2ms
17:57:27.665377 [queue=0] packet #3, 127.0.0.1:62364 -> 127.0.0.1:8080, sz=8 is delivered
17:57:27.665377 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:62364, sz=5 is dropped
17:57:30.650254 [queue=1] packet #3, 127.0.0.1:62364 -> 127.0.0.1:8080, sz=8 is delayed for 8.6ms
17:57:30.666505 [queue=0] packet #3, 127.0.0.1:62364 -> 127.0.0.1:8080, sz=8 is delivered
17:57:30.667009 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:62364, sz=5 is delayed for 9.9ms
17:57:30.682414 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:62364, sz=5 is delivered
17:57:30.682934 [queue=1] packet #4, 127.0.0.1:62364 -> 127.0.0.1:8080, sz=2 is delayed for 4.7ms
17:57:30.698018 [queue=0] packet #4, 127.0.0.1:62364 -> 127.0.0.1:8080, sz=2 is delivered
18:04:07.416477 [queue=1] packet #1, 127.0.0.1:57895 -> 127.0.0.1:8080, sz=14 is delayed for 8.8ms
18:04:07.447638 [queue=0] packet #1, 127.0.0.1:57895 -> 127.0.0.1:8080, sz=14 is delivered
18:04:07.448144 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:57895, sz=14 is delayed for 300µs
18:04:07.463323 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:57895, sz=14 is delivered
18:04:07.744461 [queue=1] packet #2, 127.0.0.1:57896 -> 127.0.0.1:8080, sz=32 is delayed for 1.8ms
